id,grade,school_year,score
eeMiyDhdbcYh,C+,2004-2005,79
3dBTksOa5pC3,C+,2002-2003,92
rfdlDajKwUZu,B-,2011-2012,49
HEXBW4v7mjdJ,A,2019-2020,20
hwC0LSYHYy0M,B-,2012-2013,58
LV5sbTRbDQrf,D-,2002-2003,80
wx3BtzLgiV2P,A-,2012-2013,62
CUcrNlBJrIiK,B,2011-2012,38
OCI9klhN8md3,D-,2018-2019,14
gNP5P5LxAff6,A+,2014-2015,56
26zlN6SE7Rq3,C,2018-2019,11
iqjPRKXjCsAb,D+,2025-2026,46
61QDzYKQ4xrC,D+,2004-2005,7
e5EJE2SPTKya,C+,2005-2006,87
0C443BY4mUt7,C+,2023-2024,98
SJRHT9JyaQnb,C-,2006-2007,38
zWDfbfPKT4Ys,F,2014-2015,93
OsqCfthd6aLa,D+,2004-2005,20
bnVwEBd7fHzW,C-,2008-2009,46
sych0XTogKF9,A-,2003-2004,93
uKTKbEJXqzHq,B,2019-2020,49
GFsBsRF4IHxh,B,2013-2014,49
tCNP2IkbNTWB,B+,2005-2006,47
EudDUUg3TmVJ,A,2001-2002,21
gUwx5lVWHE40,A+,2010-2011,29
hGOJ4mB85lpN,D+,2012-2013,69
5JMGfLNRVsxV,A-,2024-2025,39
G0gOjZDyiXt2,B,2019-2020,35
Q7DlEF6tm6aR,C-,2012-2013,16
fqUwCdKu7zw5,D,2008-2009,13
ZlfvdOodIkjY,A-,2009-2010,7
wWYlebhTXEHa,B+,2017-2018,23
WtBQohVdMeg8,B-,2027-2028,16
k6qLdv3KBaFF,A+,2027-2028,62
exSodAYdgkuT,A-,2002-2003,2
qNHbHRN4Ofvp,C+,2017-2018,65
m6shgl8jBmbF,C+,2018-2019,60
2kDKPX7jSWnz,A+,2011-2012,12
2Poa6HaBnsdR,B-,2009-2010,10
mpbsvAlekbhh,B+,2003-2004,63
Tef27a0pCxWR,D-,2002-2003,8
IgzDDY7EIMmh,C-,2023-2024,83
jiVOeaRf4Xqa,C+,2014-2015,37
1KaO0kOBnZZT,D+,2009-2010,7
h7LM9E3Yqray,D,2009-2010,19
G7pu1TvSqlAN,C-,2021-2022,31
jIHyt0JIATlp,C+,2003-2004,95
XfcN7SA8OuPy,A-,2011-2012,35
x2Sh2UfonMva,A+,2017-2018,72
KRaiGUQQAAT8,D,2008-2009,79
meGKZ1iirWSh,B+,2003-2004,55
pdHCCZ7wH2W9,F,2024-2025,56
kF33vYilheeg,D-,2013-2014,44
3EaosOgmo8Mn,D-,2005-2006,21
tI0MYKmvlDHn,C-,2015-2016,79
GDEwPoRjMyH2,A+,2004-2005,96
YjLnuKAybcdb,A+,2018-2019,70
qX9LzrGmN5G4,A+,2005-2006,57
j7zIujy0JyYk,D-,2004-2005,36
VmITiS53lUKs,A-,2012-2013,54
ClSZlvjZ4M0G,B+,2014-2015,66
8RRfJnuvaueL,D+,2008-2009,4
L975lT9ulK6W,D+,2012-2013,19
MLkBcCpepN4L,C+,2023-2024,72
fRegvNSvIKeY,B-,2009-2010,17
5YX83fBiDAef,A,2012-2013,96
4PqToacC26Us,D,2019-2020,17
Stg6guvcmTx4,F,2021-2022,48
aPpL1LCerGvC,B,2027-2028,26
Ao4kWV6LvIRR,C,2024-2025,41
zZC3MmIcfeIo,A,2021-2022,41
0RvNKAJf4gbd,D+,2022-2023,11
Zrwq9sJInD8N,A-,2019-2020,64
OZ7cUOj0FjiD,C-,2011-2012,41
rvja474rS8z8,A-,2005-2006,25
bHVpec9UrLCp,C-,2008-2009,30
CrraxFAQ1EOg,C,2009-2010,40
xPD8DtpUAMD5,B,2009-2010,15
jxplDqOvcrrk,B,2027-2028,69
g3O4YM7s5sUS,D,2019-2020,3
nXtwIUMBLwtg,A-,2017-2018,92
h5gd8MpDKHu8,A+,2024-2025,15
x00YBsK4xTzv,D-,2005-2006,38
0UXn3VoU4tiB,B-,2022-2023,77
ophvD8H4izQU,C,2026-2027,73
aEOpjKZvRdcU,F,2027-2028,70
zqQAZsHnwKhq,C+,2006-2007,100
uuIPRXBAv6pd,F,2025-2026,42
7FkmwgQLyn9K,A-,2003-2004,17
2ZHYpcYdifdb,F,2003-2004,68
CekEoJF3P31N,A+,2020-2021,56
081odz3IUCOI,D-,2015-2016,31
ehi73yYjsz78,C-,2006-2007,30
ctqUEgvoxG3f,D+,2009-2010,100
u9r0HqZ8A2vB,D,2003-2004,30
P5zt8I9ZEW4C,D,2026-2027,94
Kb520F2dhatj,C-,2016-2017,16
73W0lhM48R66,C,2021-2022,27
j3ojTQvhN3EY,A-,2020-2021,37
9WVec5MDRneS,A,2006-2007,10
sOjXUDuuBHxS,F,2024-2025,80
kf9lWN8l37oV,D,2011-2012,96
fYYUqPkHMSTG,C-,2018-2019,68
U1FkC9wEW4KL,D-,2015-2016,90
1TNn2R8W5bqY,A,2001-2002,14
1aGLHahucgC1,A+,2027-2028,46
qQpDgoGk0bIW,D,2010-2011,41
vTAa4pPXUKYR,B+,2014-2015,26
uXMfnzJYhmHT,A-,2012-2013,62
MM89jgWBA1Ki,D,2026-2027,2
iuLbUEpQ8yt5,C+,2024-2025,4
fdgk3zbpCX0b,B+,2006-2007,98
nyGworg94V2J,C-,2024-2025,86
PZ2QuQF2d5kD,D+,2014-2015,55
KXHGmghypP7h,B-,2006-2007,39
S0IFKkybVkFF,B+,2004-2005,66
pIpjBKKBb5MO,C,2013-2014,19
fzItLKoAq2jA,C-,2022-2023,62
FWyaklPBmPWg,D,2016-2017,20
pm7U2Px9CqEs,F,2017-2018,4
7ckm1LJhT63V,D+,2013-2014,48
b7ZjV8S16CQn,F,2008-2009,84
L1waJjb70RL3,A-,2020-2021,65
Mt9UkPmpwqkp,D+,2005-2006,56
Vo4XE2yGCkue,A,2019-2020,78
Brm8CBNrUUv9,D+,2010-2011,60
bmJlnzdWffXf,C,2017-2018,63
mtQdx8520KnP,F,2001-2002,84
PA5DUMfgBu5v,B+,2020-2021,12
tEK1PrYbIKby,C+,2015-2016,81
gdpU4Mv9Cef6,F,2001-2002,3
mr0wckTIWeXU,D,2008-2009,76
LDfZOgniJaA2,A-,2010-2011,46
RRe59pmBrUNn,F,2027-2028,72
kqL1On30SZMl,C,2021-2022,58
56iUDqwicSgJ,D+,2002-2003,9
29KK8QpcyMuH,C,2018-2019,28
tD5rDLIplaAT,A-,2004-2005,99
eAM7a82qivME,D,2013-2014,24
5X5yW850tjTe,F,2012-2013,1
MJsMf21WwzOD,C-,2004-2005,43
mGvAlGExWrZm,F,2014-2015,26
ISVsB1poQNVo,C-,2014-2015,41
4135T4icY7VE,B-,2021-2022,84
wYmf03sOGb9x,D+,2025-2026,23
rQaBggz6FsI9,C+,2014-2015,91
TaEumzxTZWmr,D+,2022-2023,58
KA4DhajaJF9O,F,2015-2016,15
9cSqVvd94sFP,D-,2003-2004,72
BqNnddwUnWaG,F,2017-2018,76
AiFb40AjKHjx,B+,2023-2024,83
Yo2MqYBHp1kA,B-,2022-2023,93
bm9K4yzNu24U,D,2003-2004,37
E16kCcI2osvj,D+,2020-2021,55
Vqpu0fep5x5j,D+,2013-2014,78
z4XC4q8wcMww,A+,2017-2018,91
C5jvjIyumgxt,D-,2022-2023,24
wy5MGq0CZlvk,B,2007-2008,13
4gUDI6WqHLhw,B-,2010-2011,3
8ADMGU0WTSvM,B+,2002-2003,61
s3lBwiJBWoQV,A,2026-2027,31
y2FXZrVzVWQS,A-,2027-2028,6
e77OWamU8IcM,F,2020-2021,33
EaK35Gvk1JeX,A+,2025-2026,11
daJzfshw3mzo,B+,2024-2025,32
yuNXgLcuoORc,F,2020-2021,100
daVSepreSbkB,A+,2006-2007,91
xrp1pe7Wa9rY,B+,2016-2017,77
D9G9vKQcEK1y,A+,2027-2028,2
JjUzH4mEwSvN,C+,2016-2017,70
8ORS9iI9ZOZa,D+,2020-2021,61
LzmfMji7WbXS,D-,2017-2018,94
S4PcKTxkmE9d,D,2010-2011,68
67Gdp9jKyG6Z,D+,2024-2025,49
9uarHxmfPsyB,C+,2020-2021,40
Dv3qlVDSLwxw,C+,2004-2005,2
qRmd9eb0vcI1,B,2001-2002,14
6vMDogY6kqJt,C-,2026-2027,46
OQulcQpTUypK,C,2018-2019,62
t4VS85GHUIQm,A,2026-2027,97
nlALDxepQUUn,B,2008-2009,41
2VGQX41kMh1P,B+,2009-2010,10
nnH5D8I7fx5n,A,2022-2023,100
CxqWyFUckP8n,C+,2015-2016,78
dJVrA8zL2Vx9,A+,2023-2024,83
BZ8q0wlFQ2xO,B,2003-2004,36
cFe4kyP83fyn,C-,2024-2025,69
jGd8IlTlw1eh,D+,2026-2027,13
O8mDSBAFHwT7,D+,2003-2004,34
Ce4scIke91oe,B+,2005-2006,30
esj02ehQ62CJ,B-,2015-2016,26
YbTPRC2B51zt,D,2005-2006,1
4Og2wvBnxfWI,C-,2020-2021,23
PkuxIFSzEXWL,F,2007-2008,100
Oi0H8w2NqLvO,D,2021-2022,29
BJrFjWmQk0Au,A+,2009-2010,79
tYoGxuR07kyt,B-,2027-2028,43
zcjQSOhyGLZa,D,2006-2007,23
mFoRa5Ed9oRv,A-,2010-2011,42
pqVXkzwXOULM,A-,2005-2006,2
fGVZ1SoBY3nn,A+,2017-2018,97
IX3XWUDXhqsN,A+,2020-2021,70
PjV2HBgWokjR,A,2021-2022,21
smkFqPkdKMEB,A+,2010-2011,23
bC39nmTyTrHe,D-,2024-2025,20
nr4dxcI4qcQE,D+,2023-2024,89
TGekgWLNfidn,D-,2005-2006,5
nhqg2rwBYiPB,A,2009-2010,64
cY5JMe0SXeL8,C,2003-2004,79
c6ARuzFRfZDy,D+,2008-2009,49
ALwWKUsqtrEV,D,2007-2008,3
UhjOCRqFCAaY,D,2001-2002,27
4TxHJfnWEBQ3,B+,2005-2006,69
qveKPswB6oUg,A+,2009-2010,43
NjVQdXDuJ98n,B,2011-2012,19
kMYMSvblODaO,D-,2008-2009,99
2Kr3u7fxfyz7,A,2001-2002,9
Qx3pxGUxmGbs,D,2002-2003,96
087ApTkMeyOM,D,2003-2004,10
vfSN0W0OO1mZ,B+,2024-2025,33
VGI0g7aqgcvI,A,2013-2014,5
TggLGSc0Fe5V,A,2012-2013,24
GExL4dMf7KzC,A-,2023-2024,45
e7Fd4LJsnRVw,C,2025-2026,75
o0SZIJZfSElS,D-,2007-2008,2
Iv8pBMzcTSAG,F,2017-2018,31
S43uddYsrPYl,A,2002-2003,20
i9MQkTjBUwBZ,C,2019-2020,46
pO8N9QfUyByb,C+,2006-2007,62
NseBuu2Z836C,A-,2012-2013,25
wVSsiNgdcOQt,C-,2021-2022,10
leOGLs2aiqyy,B-,2022-2023,91
lN7In1WuCN13,A-,2006-2007,55
0qO6Fl0gVHtv,B,2003-2004,23
4oPWNgQ09t95,B,2024-2025,91
wCrUTOux0hUm,A,2025-2026,83
w3nVYHLnRs7O,D+,2008-2009,35
VPPyojwGLPXe,F,2012-2013,43
SittKFewunsa,C,2003-2004,26
VBsfDwyaz9uE,D,2024-2025,70
TtCHbUIDJbi9,A+,2015-2016,81
pFhig7DHpaTT,B+,2009-2010,49
t78BvubAFIyS,B,2026-2027,37
XqIvCovBKcNE,A-,2009-2010,95
yo2jWOwFjvwo,D,2002-2003,84
spB73LckYEsL,A+,2013-2014,34
uTnyoHde0NqQ,A+,2010-2011,41
G2w4s8EpHhhZ,F,2011-2012,33
UkFiwjX3wp87,C+,2023-2024,56
Z2bM2pUAJWEK,D-,2005-2006,64
BmFKqMfc4JCb,D-,2016-2017,65
7U3FwKscR4GO,B,2023-2024,77
rm6UcvCPd5i3,A+,2021-2022,11
zhdk3PGWaWtN,A+,2012-2013,50
1LHJGjn15Fxe,A,2019-2020,22
DVP3srC4NXgM,A+,2020-2021,21
CEVctTWnhOGn,D-,2003-2004,61
l2oPhf09ZKaF,B-,2014-2015,99
GTep9kO8VfTk,C,2003-2004,91
T2OuL5tbK0f3,A+,2003-2004,88
rsxF5Lg8MFYv,C,2026-2027,53
PQhSCwkvUUsw,D+,2022-2023,12
hBpxH1bfrXUI,B,2018-2019,74
pM0NvTOjmeAz,C,2002-2003,61
tMYfrZGgaaSW,A+,2013-2014,41
9b2FPIDlBR0T,C-,2025-2026,80
XVwRlO0tlkWJ,C-,2026-2027,95
cWbFYfPBEwIK,C,2020-2021,3
MPRHoarIkU4n,B,2014-2015,35
GjZ5FeM0kQP0,C,2027-2028,13
CZ2enMG7ZtBD,A-,2007-2008,46
SqiM4HxrOqP1,B+,2023-2024,90
iGxw6jGI1JIw,B-,2023-2024,7
ne3anFbDH06u,D,2023-2024,21
Y8pomFpWGXl8,F,2004-2005,34
YfIW2jc45xTa,C-,2025-2026,53
xvEmSo2d4JCj,A+,2020-2021,17
QU8SpdCRt1Vz,C+,2024-2025,21
TaXUxHBKISzC,D,2023-2024,5
fITFcHNYmV3h,B+,2009-2010,22
Sx28cE91a5nG,D,2025-2026,86
a8nYqCBDPEWs,D+,2009-2010,65
DqUnuZJrAsHB,A+,2010-2011,1
OCWje87YG3Us,F,2014-2015,29
ioMMru9ilYSU,A+,2013-2014,80
nxhUqisws2Vu,A,2014-2015,84
sY17WKeXEv58,A,2015-2016,63
UeixXidjH55Z,C-,2013-2014,72
y837JumfqDGM,A+,2012-2013,59
0XokgQcP5Oro,C+,2022-2023,10
UGmMHOyaqLbr,D,2005-2006,45
ev0K16semRxv,B,2022-2023,71
O8SHSi9ZeYKQ,A-,2020-2021,59
mryX4WvbjQ8I,C-,2018-2019,52
ka7fnCucsDqI,D,2021-2022,37
xF0TTBZ3uOeU,A,2001-2002,84
KeO90mzwt2bF,D+,2026-2027,51
XrF7VnYl5jMw,D+,2024-2025,62
EDyIGDk4jCZe,D+,2026-2027,48
XeoG1EuL8Jpv,D+,2006-2007,4
l9fvIXSq6xYO,C,2007-2008,40
N3Lvzl85T1cw,C+,2020-2021,5
LD84mjNjcN0p,B+,2027-2028,56
mZHhKJom9c8j,A+,2001-2002,25
pFhw3pbbvV6U,D-,2014-2015,65
Fwtfk3Sfjadc,D,2004-2005,52
kVosDNAbbAhC,B+,2027-2028,13
SULs4uS2qkV5,C-,2012-2013,41
YI1CpEupFhL5,D-,2024-2025,51
SLrxpKsZ3iHn,D-,2027-2028,44
ETlkZYiUNnVG,A,2003-2004,44
7moItavFrg6w,D-,2010-2011,58
7qcKPeTtwzFF,A,2006-2007,91
4QoXoKdfTOep,B+,2005-2006,45
ARKnfxlsfepK,D+,2007-2008,91
gdBKW4Dz99tj,C,2013-2014,60
bUy7hUDUcwZM,B+,2009-2010,33
m4o0HobIjEQZ,C-,2011-2012,3
7BuOAM7LazA8,A-,2025-2026,1
JXeBYC4ah4Yi,A-,2002-2003,7
HFtlQiacgsNg,A,2008-2009,29
s8HGUgMnY0VD,B-,2018-2019,20
fxOeeKrncB0w,B,2019-2020,64
7qePzPZk5KNo,C,2018-2019,93
ACSlWyGAZWmc,C+,2006-2007,24
oaFbvmf7v8x2,A+,2018-2019,57
6pqKlpzV5Nqk,D-,2006-2007,30
K6Cwb5dnpfMF,B+,2026-2027,83
aDsve4qyRXZS,F,2018-2019,65
w99PL83SVLjt,C+,2012-2013,68
zXaXUBJcCayy,B+,2005-2006,37
nkrwD5JGFyOR,B,2013-2014,81
ezwdYGxRAidJ,A,2009-2010,12
Jx12vPMWNeOQ,B,2005-2006,9
N8kv4VcAxMHX,C+,2025-2026,85
XwtiocCEWI7O,D-,2002-2003,61
djboHCsBP6aX,A,2012-2013,36
RlduCH7TOoKq,D+,2015-2016,80
9B1fP5nA5rWx,D-,2011-2012,23
aiT99nCY9caq,B,2001-2002,84
HLDJ9Mqr7GvZ,D-,2015-2016,22
n7Ca1km83C9q,A+,2002-2003,66
OsdxU3uJN4BT,A,2004-2005,17
qKj5gOx8uEBb,B-,2017-2018,12
Etw7246oSL5Z,C-,2018-2019,48
Ak17RJ3mpaR1,A,2023-2024,79
UuoNVjqAwaZL,A-,2019-2020,51
2EFVakG1jz7O,B-,2015-2016,28
ATilZ2eVDLbq,C-,2021-2022,24
Kv0oGp8RsvAS,B-,2014-2015,30
ApUeoVG6ufDs,A+,2023-2024,54
nrCr3aaYtxtC,B+,2012-2013,16
afubj5IQPuLf,D-,2024-2025,46
2Ym7brrlkVqo,A-,2017-2018,1
SLwTbnzCpJiQ,A-,2025-2026,90
NCVHoRrw8JAV,D+,2012-2013,92
ZIOsZbKyxyGK,D+,2003-2004,25
m3ke7EBTn633,D-,2021-2022,42
OeRJh2cOYJZx,D+,2020-2021,38
NDrC0AF5uNRD,D+,2008-2009,82
C7gSKKa5NHPQ,C,2017-2018,29
AU1m5yUv7rvk,C-,2027-2028,74
s9Dr4hMNmkmM,D,2008-2009,45
OOpHRYgldAwW,C,2004-2005,92
kmQynndm7HKt,C,2018-2019,83
h28gEHGv9v6L,C,2001-2002,42
I14Z3HYQVzyb,F,2009-2010,57
FtUeGNleYK2j,C-,2010-2011,36
uJqaFwfi2PTm,C-,2016-2017,69
qw8cXvjIiBgQ,C-,2006-2007,6
5E77stpFs5Wz,B,2013-2014,84
Q1jkMhiBidjb,C-,2017-2018,15
7pQEsFkD9LZ6,B-,2009-2010,34
mwNy7Clzgg2P,B,2026-2027,56
r8QKo1tTWkE1,B+,2019-2020,48
vBxX1K9Iismh,C,2017-2018,27
tSnjR4ixq8WY,D+,2023-2024,48
MNLvdGYWWZdH,C+,2005-2006,11
gOVAkleu3HUJ,B-,2021-2022,96
pGwZIoTM8IZO,D-,2018-2019,34
NXh8CxeoPmTm,A+,2014-2015,81
hyqJxCHECppk,C-,2026-2027,23
ZdwL0mBI8qzI,A,2024-2025,82
NwMDioxC3TYW,A+,2001-2002,93
YUn4DyFoWXou,D+,2027-2028,5
sqYMwRhdghx9,B,2003-2004,27
IlXyEH81bhLV,D+,2006-2007,25
zxb0ab5UsOgE,C,2022-2023,22
TTQvbcVKkuyb,D,2010-2011,98
kAaPIsFpX0Oe,A-,2002-2003,16
IMPtLZJm9RtD,C+,2017-2018,78
XKUqUNj31CvL,C+,2014-2015,65
2ZoSMPsNboCp,D,2005-2006,47
qdx0R2fQnJ0T,D+,2023-2024,68
Y5J0PY1D2wjd,D,2018-2019,35
ShZJo8KxN6vt,C-,2016-2017,3
7dBMD3RbJ17D,B,2011-2012,56
FIz3aY7dNEMw,F,2019-2020,42
8IshwPWjI2Tr,A,2021-2022,35
N6JZuNcwsavY,D,2004-2005,58
Ad3Qtw1nPZxE,B+,2021-2022,82
vjmn2LE1kAlm,B,2004-2005,2
hGg5H5QxfwPY,A-,2014-2015,7
g3c2K8L8iZjz,A+,2010-2011,2
bpa4NOceRxBo,C,2015-2016,66
X4sgWw2BFJK7,D,2003-2004,40
aLkMbze1AqA4,C,2011-2012,84
6IQS5jEZCJuI,B-,2020-2021,58
7SxGHSEJltXu,D,2023-2024,82
2jPw2gI72Sp0,D+,2002-2003,73
tgC84KuXl9xg,D-,2020-2021,95
DM5cd0IPLgYx,A-,2010-2011,91
oz5pGuKs6IIK,B,2010-2011,67
XQIZKePNaEM1,B,2004-2005,8
CZy35k14CCwa,F,2006-2007,4
8QmhhSCNXH5T,C,2024-2025,3
HzdWWpMrnpyB,D,2018-2019,100
gadFlj82S1Je,F,2018-2019,21
MUeeD8YVcDds,D,2018-2019,27
o1bOLhYGbcd0,B+,2018-2019,52
yjUlLbttkfFW,C,2009-2010,84
1LHg2PSQhYaK,D+,2021-2022,84
FA7Up5dyilji,B+,2003-2004,32
EHv3CcFeEQGA,A+,2018-2019,75
9sHshnarQcG3,B-,2026-2027,57
0KTQ8jcHMSDJ,C,2023-2024,97
NIrZG4Y3h5yG,C+,2004-2005,21
uTsHot2goPSe,C,2010-2011,66
doBEOCRPe9J0,B,2026-2027,7
iWIwElgGJstB,C-,2020-2021,32
MEdhT3WMMWHT,D-,2010-2011,29
9Hg2JAHZePqj,C,2014-2015,69
3dGQ9bY4Y5p2,F,2018-2019,6
l5hoZkdL6MPR,D+,2005-2006,46
6brYtzPojNbh,D,2013-2014,70
s0j6s8Bol2do,C+,2004-2005,31
trYZoZ11zghK,C-,2001-2002,93
1rUVwXtdnU8a,F,2013-2014,63
diSid7xxJDmz,F,2003-2004,19
xYf24jMdnC75,C,2020-2021,18
OLw8DLH2CLau,C+,2026-2027,34
O9yujGZ1n1cD,A+,2025-2026,59
eagHXzcOBGpB,A,2006-2007,89
0xyO9vJSaPEN,D,2021-2022,91
2stmJO4cLpHi,B,2011-2012,52
k43ikuDlAvUd,D+,2009-2010,46
TPy9RR9VligD,C-,2020-2021,79
BycGrMxVaOhG,A+,2003-2004,99
J0lspm4ltIIu,C+,2026-2027,89
2A2EiERNfpkE,C+,2026-2027,13
mLKnmz0xY82j,A,2001-2002,66
2W1ch1DovKIG,F,2018-2019,50
CzXDbWDvSeoc,A+,2012-2013,82
0f5C0e9KnC2v,C-,2002-2003,15
0aCjAxDIUZrv,D-,2012-2013,97
rFejDO29MqfO,A,2019-2020,42
YmUpbGQwo6mh,B+,2010-2011,92
ylmhsh90VflY,B,2005-2006,5
GTWZELrUObXV,D+,2027-2028,50
c5G0wJE5MPmm,D-,2024-2025,29
hIsuo7PRKWW6,A,2027-2028,43
0QpZVwtFogGR,B-,2019-2020,78
ijHT9NWRvNRy,B+,2019-2020,65
rH7ngQnJCNxk,A,2015-2016,32
N0AGOZU2eTek,B+,2022-2023,36
3SqM0jM5yDso,D,2025-2026,83
Li9VdwK4YYBG,D,2002-2003,24
DlVU0hzUJlDz,D+,2012-2013,66
ICy7SlTKQlsx,A+,2003-2004,56
llyiWAQ3gWff,A+,2006-2007,14
ol4UreN73d3i,B+,2011-2012,7
67sBuL8aKdz2,C+,2019-2020,83
ksZzRWgTJzfn,B,2004-2005,65
aPZ4jHb7yC75,A-,2025-2026,5
l2pt5aEuDHoN,C,2012-2013,81
N8NHTXp3o5K7,A,2026-2027,44
JmY1lmo6XR4f,A+,2022-2023,8
kwvKppqBcfo0,A-,2011-2012,23
BurCjdPqRlfQ,C-,2016-2017,98
750r9Pe24rhA,D-,2021-2022,38
VczFWODm2LDv,A-,2013-2014,72
y1mkhOzE6Nbg,D+,2001-2002,84
1fUnnllPLcO5,F,2005-2006,82
Ln9OcYU8fKJa,C+,2004-2005,80
favYGzwspwrp,C-,2006-2007,76
HyGSJOWeCOpX,C-,2023-2024,69
q0ypwvFK5Orp,D-,2009-2010,23
RCisoIpkuC73,D,2002-2003,33
tszuZ7zefwoY,C-,2023-2024,30
oPejli2WBo6o,C,2020-2021,85
YDinISZRJoDs,B,2012-2013,55
6Zh2vE0vAcYG,F,2021-2022,35
Zzu28LJMh766,A+,2001-2002,27
FLFqc8JtxNIw,F,2001-2002,7
z0vgd3CEzUH8,D-,2008-2009,98
wGeJWjNUaq9C,D-,2019-2020,65
FU7AmotBm74Z,D-,2009-2010,97
di5OjLbjKRO2,B-,2005-2006,96
5UMoMOUnfAqa,C-,2012-2013,42
ttgROQQeoihl,B,2001-2002,32
dUBLJz7UN1ol,C+,2008-2009,65
zEJfO13yUTqo,A-,2014-2015,94
tLcoYoXxqYpF,D+,2004-2005,23
TIv0PkH3qYv3,D-,2022-2023,93
Yjl9kWbNObtI,A-,2008-2009,86
4YhLDloUFSBf,C,2013-2014,17
xpNUbsYhjd51,A-,2006-2007,37
kdzl3xFLgIKc,C+,2017-2018,25
ZPWPlPVCF9Vj,B-,2016-2017,52
6HefjbRnmc8o,B,2019-2020,34
FnIynb4DxkGf,D-,2020-2021,61
iYO0qMPwIQhn,C+,2017-2018,26
6FUoQxmsNEVR,A-,2019-2020,32
BDTJbFIvruFl,C-,2014-2015,36
hr6K0Yo8OfUy,F,2026-2027,68
ZFUIZaqVGSoA,C+,2009-2010,30
6mOlOf7oxixD,D-,2002-2003,39
zgXQuPPHito6,D-,2003-2004,68
hKwwTDg0zWIJ,D+,2003-2004,70
0UXvQkweT935,C-,2003-2004,14
LCdWfvp0NRDz,B,2023-2024,45
bIA730JjTQsZ,B,2024-2025,71
J1cQtodtpmik,F,2003-2004,94
WBvc8PbrHT3p,F,2024-2025,98
1BQc3oFGjpJV,C+,2006-2007,5
xKSX08Z4f2F1,C-,2012-2013,40
tof9Se7Z0Bmx,D+,2015-2016,82
MU5OFTSKAGVt,C-,2024-2025,8
4uyUl6SPTPWG,A+,2027-2028,33
XBB0eYiouXwi,A+,2019-2020,16
KsmjRe7XAHE5,C-,2027-2028,17
HpP5l4DWHOse,A,2011-2012,8
hWUAz3lHefQQ,B-,2012-2013,60
q63OBPSrTHV0,C-,2018-2019,72
lOg8MtZswcX1,A,2006-2007,83
uSFPGRNJMBzM,B,2007-2008,98
IR7tkgfmnDzK,D+,2002-2003,63
F3qINSqVk9rW,D-,2010-2011,3
owztuRiKfsKY,C,2010-2011,41
qDQfPzxMw9j2,A+,2014-2015,12
Ye0bJ4ySgPAE,C+,2024-2025,50
YoJ4LRQ262Uw,C,2025-2026,68
Z5JLimIEDfLn,B,2013-2014,8
jqcD5QFHBjBv,D+,2022-2023,53
8LkWRRTkBK8Y,A+,2024-2025,15
ufd49U4u7yGo,A+,2027-2028,21
jVuM35Px7yCX,D+,2027-2028,31
d9SCmcng66wK,F,2009-2010,73
FFRffRlCzEqz,B-,2022-2023,43
edazQsvUMVtm,F,2018-2019,70
0071UZ5uqgLD,B+,2002-2003,53
PW3ExLvoUxkk,B-,2022-2023,85
HO6sboNv1r74,B+,2002-2003,23
kwubzVl43Ex2,D,2010-2011,87
YZPVrH3RwDUz,D,2025-2026,50
B5oD1Gynnuyh,B,2004-2005,92
62v1j96hDfWH,C-,2003-2004,50
LlfN7bXIXQ8i,B-,2021-2022,49
qecis8tfowXe,D+,2001-2002,4
iJXsyjmeWxZO,D-,2012-2013,83
59sJ00OkSzJU,C,2023-2024,56
7929td2KM00O,C,2025-2026,53
pPuaQoMQARSZ,D,2026-2027,43
HZSqlhhd6eWC,C-,2019-2020,52
aiWNCDpKudqc,D,2011-2012,71
nR7RwZ6nGWVA,D+,2023-2024,22
bDVfTdWmokHY,D-,2003-2004,56
XwVWzzwa7iqp,C-,2027-2028,86
3yiAJHh91zOF,B+,2017-2018,53
teCp1SXbgKE2,C,2021-2022,13
i6HbKacBJLrN,B-,2011-2012,78
m1lSassFap3q,D,2015-2016,4
8F38Y2qsHNxd,A,2011-2012,90
4agrWhb84Zem,B-,2013-2014,13
ycTIOfZLcCeU,D-,2020-2021,78
gqU34LnxwiNb,F,2013-2014,49
5hNVed9B82v2,D-,2001-2002,88
aysVaLUZGsKx,C+,2018-2019,40
MH1JGfqEspz9,B-,2014-2015,34
xfYFGmysIz9k,A+,2006-2007,25
G2LV2zKLStjP,B-,2023-2024,53
rD7ZGRLEW7Ue,B+,2018-2019,55
pOB6LhZT0avk,C+,2019-2020,41
3lZP6YJ67ufY,B+,2005-2006,28
0v13IGHFbKQT,B-,2013-2014,25
MsqhP7exmRis,C+,2013-2014,52
npMdZ7pFPEtm,B+,2021-2022,42
OGOxEgydyMaX,B,2011-2012,36
hmQL8Hb1tYTH,C,2019-2020,80
BrdaNfL0RhDM,C-,2015-2016,57
q0d0LFcQT75Z,A,2024-2025,72
YFVQzzmpgA1G,D+,2009-2010,85
FkWAjqP0krGF,D,2012-2013,23
1YKDNgydjpC6,B,2006-2007,74
zFzjLtYQX8MQ,D-,2025-2026,12
b9yHxeAJFriZ,C+,2016-2017,48
B0Awci3NFtkt,A,2017-2018,14
GeQBc12Rg6ND,B-,2016-2017,30
1EVn5vc0Rn7Z,B-,2015-2016,29
wnhE3gIg6kMm,C-,2019-2020,77
PxdQWw7b6M2c,B+,2018-2019,58
kKlYLF6abOYk,D-,2010-2011,53
MZ8vTpHjEwvU,C+,2011-2012,95
mod5ece3tbcl,D,2027-2028,48
